review_id,order_id,user_id,driver_id,content,comment_star
1,ORD001,244,401.0,速度快，很满意，态度一般,3
2,ORD002,183,130.0,驾驶稳，车很干净，很满意,4
3,ORD003,200,312.0,态度一般，速度快,4
4,ORD004,363,52.0,服务不错，驾驶稳，车内有异味,3
5,ORD005,417,207.0,车很干净，比较安静，车内有异味,3
6,ORD006,244,479.0,驾驶稳，速度快,4
7,ORD007,84,137.0,很满意，比较安静,4
8,ORD008,197,428.0,车很干净，驾驶稳,3
9,ORD009,143,306.0,驾驶稳，车很干净,3
10,ORD010,45,132.0,服务不错，速度快，车很干净,5
11,ORD011,215,18.0,比较安静,3
12,ORD012,35,27.0,态度一般，速度快，比较安静,5
13,ORD013,75,33.0,车内有异味,5
14,ORD014,393,440.0,等待时间长，车很干净,5
15,ORD015,388,188.0,服务不错，态度一般，比较安静,5
16,ORD016,41,145.0,驾驶稳，很满意，等待时间长,4
17,ORD017,8,344.0,很满意,5
18,ORD018,349,152.0,司机很礼貌，服务不错,3
19,ORD019,437,110.0,司机很礼貌,5
20,ORD020,473,17.0,车很干净，驾驶稳,4
21,ORD021,361,311.0,司机很礼貌，态度一般，比较安静,4
22,ORD022,416,62.0,驾驶稳，速度快,4
23,ORD023,327,259.0,等待时间长，驾驶稳,3
24,ORD024,154,398.0,等待时间长，服务不错,3
25,ORD025,296,358.0,很满意，比较安静，等待时间长,3
26,ORD026,455,296.0,速度快,5
27,ORD027,148,481.0,驾驶稳，速度快，等待时间长,3
28,ORD028,367,386.0,驾驶稳，服务不错,5
29,ORD029,447,403.0,等待时间长，速度快,4
30,ORD030,103,326.0,态度一般，车内有异味，司机很礼貌,3
31,ORD031,411,100.0,服务不错,3
32,ORD032,161,238.0,很满意,5
33,ORD033,175,273.0,车很干净，态度一般，车内有异味,5
34,ORD034,437,63.0,车很干净，比较安静，驾驶稳,5
35,ORD035,152,245.0,比较安静,3
36,ORD036,358,186.0,态度一般，司机很礼貌，驾驶稳,4
37,ORD037,180,177.0,很满意，等待时间长，司机很礼貌,4
38,ORD038,227,347.0,比较安静，司机很礼貌,5
39,ORD039,193,398.0,车很干净，速度快,3
40,ORD040,221,420.0,等待时间长，很满意,4
41,ORD041,427,223.0,等待时间长，车很干净，比较安静,5
42,ORD042,359,163.0,服务不错，车很干净,4
43,ORD043,293,241.0,很满意,5
44,ORD044,259,295.0,驾驶稳,5
45,ORD045,172,87.0,态度一般，司机很礼貌，速度快,4
46,ORD046,52,23.0,服务不错，速度快,4
47,ORD047,445,405.0,车内有异味,4
48,ORD048,358,281.0,车内有异味,3
49,ORD049,30,309.0,很满意，车很干净,5
50,ORD050,387,465.0,比较安静，车内有异味,3
51,ORD051,496,280.0,比较安静，速度快，等待时间长,5
52,ORD052,442,207.0,速度快，态度一般，比较安静,5
53,ORD053,410,468.0,比较安静，等待时间长,4
54,ORD054,391,413.0,驾驶稳，速度快,5
55,ORD055,263,83.0,车很干净,3
56,ORD056,383,304.0,等待时间长，速度快，比较安静,3
57,ORD057,230,225.0,司机很礼貌,3
58,ORD058,308,71.0,服务不错，比较安静,4
59,ORD059,246,76.0,态度一般，车内有异味，很满意,5
60,ORD060,163,235.0,车很干净,4
61,ORD061,442,125.0,司机很礼貌，很满意，服务不错,3
62,ORD062,187,480.0,车很干净，驾驶稳,4
63,ORD063,353,376.0,驾驶稳，速度快，很满意,4
64,ORD064,212,48.0,服务不错,4
65,ORD065,212,10.0,司机很礼貌，车内有异味，服务不错,4
66,ORD066,182,71.0,态度一般，服务不错,4
67,ORD067,269,177.0,比较安静,3
68,ORD068,359,245.0,服务不错,3
69,ORD069,442,294.0,车很干净，车内有异味,5
70,ORD070,436,201.0,很满意,4
71,ORD071,380,497.0,态度一般，速度快,3
72,ORD072,110,142.0,驾驶稳,4
73,ORD073,142,51.0,司机很礼貌，态度一般,5
74,ORD074,42,492.0,车内有异味,3
75,ORD075,435,131.0,服务不错，车很干净，驾驶稳,3
76,ORD076,416,52.0,态度一般，很满意,3
77,ORD077,478,457.0,速度快,4
78,ORD078,149,129.0,很满意，司机很礼貌，速度快,3
79,ORD079,343,447.0,车很干净，车内有异味,5
80,ORD080,342,288.0,司机很礼貌，很满意，车很干净,5
81,ORD081,171,213.0,比较安静，等待时间长，车很干净,5
82,ORD082,450,300.0,车很干净,4
83,ORD083,355,233.0,态度一般,5
84,ORD084,463,104.0,车内有异味，很满意，速度快,4
85,ORD085,18,305.0,车很干净,4
86,ORD086,352,406.0,服务不错，司机很礼貌,4
87,ORD087,362,182.0,驾驶稳,4
88,ORD088,315,393.0,司机很礼貌,4
89,ORD089,45,462.0,速度快，车内有异味,3
90,ORD090,99,413.0,车很干净，比较安静，服务不错,3
91,ORD091,314,7.0,等待时间长,3
92,ORD092,340,385.0,等待时间长,3
93,ORD093,415,48.0,很满意,4
94,ORD094,176,197.0,司机很礼貌，服务不错,5
95,ORD095,40,233.0,比较安静，等待时间长,4
96,ORD096,208,167.0,速度快,4
97,ORD097,188,398.0,等待时间长，车很干净，速度快,4
98,ORD098,215,229.0,态度一般,4
99,ORD099,13,177.0,驾驶稳,5
100,ORD100,341,255.0,车内有异味，驾驶稳,3
101,ORD101,490,76.0,等待时间长，速度快，态度一般,3
102,ORD102,296,153.0,服务不错，态度一般，比较安静,5
103,ORD103,473,126.0,比较安静，驾驶稳，车很干净,4
104,ORD104,349,146.0,服务不错，车很干净，司机很礼貌,5
105,ORD105,280,250.0,很满意，服务不错,4
106,ORD106,175,164.0,车内有异味，等待时间长，服务不错,3
107,ORD107,174,403.0,驾驶稳,4
108,ORD108,151,62.0,服务不错,3
109,ORD109,289,204.0,等待时间长,5
110,ORD110,488,451.0,等待时间长,4
111,ORD111,30,12.0,速度快，服务不错,3
112,ORD112,114,134.0,车内有异味，等待时间长，车很干净,4
113,ORD113,103,288.0,车内有异味,4
114,ORD114,242,444.0,服务不错，司机很礼貌，态度一般,3
115,ORD115,298,146.0,态度一般，比较安静,5
116,ORD116,230,380.0,速度快，司机很礼貌,5
117,ORD117,191,172.0,服务不错，车很干净，驾驶稳,3
118,ORD118,30,361.0,车很干净，驾驶稳，车内有异味,4
119,ORD119,323,156.0,态度一般，服务不错,4
120,ORD120,175,277.0,速度快,4
121,ORD121,241,137.0,态度一般,5
122,ORD122,164,94.0,等待时间长，比较安静，车内有异味,4
123,ORD123,18,32.0,司机很礼貌，服务不错，态度一般,4
124,ORD124,402,2.0,比较安静,4
125,ORD125,354,100.0,驾驶稳，很满意，比较安静,3
126,ORD126,418,431.0,比较安静，速度快，服务不错,3
127,ORD127,179,431.0,很满意，速度快，驾驶稳,3
128,ORD128,490,118.0,很满意,3
129,ORD129,349,110.0,等待时间长，司机很礼貌,4
130,ORD130,463,131.0,车内有异味,3
131,ORD131,104,326.0,驾驶稳,3
132,ORD132,422,443.0,车内有异味，比较安静,4
133,ORD133,119,67.0,态度一般，车内有异味,3
134,ORD134,270,8.0,驾驶稳，车很干净，速度快,4
135,ORD135,111,424.0,车内有异味，速度快，比较安静,5
136,ORD136,431,182.0,驾驶稳,5
137,ORD137,39,40.0,驾驶稳，服务不错，等待时间长,3
138,ORD138,11,330.0,态度一般，车很干净,4
139,ORD139,354,47.0,很满意,4
140,ORD140,319,250.0,速度快，服务不错,3
141,ORD141,168,425.0,司机很礼貌，服务不错，速度快,4
142,ORD142,229,25.0,速度快,5
143,ORD143,346,22.0,司机很礼貌，驾驶稳,3
144,ORD144,489,197.0,很满意，司机很礼貌，速度快,5
145,ORD145,188,128.0,驾驶稳，态度一般，车内有异味,5
146,ORD146,228,27.0,车很干净,3
147,ORD147,492,240.0,司机很礼貌，态度一般,3
148,ORD148,264,27.0,车内有异味,3
149,ORD149,487,243.0,比较安静，车很干净,5
150,ORD150,475,419.0,驾驶稳,3
151,ORD151,151,284.0,司机很礼貌,3
152,ORD152,345,436.0,态度一般,3
153,ORD153,54,116.0,比较安静，服务不错，很满意,4
154,ORD154,418,475.0,司机很礼貌，速度快，等待时间长,3
155,ORD155,190,425.0,等待时间长，态度一般,4
156,ORD156,414,219.0,等待时间长，司机很礼貌，比较安静,3
157,ORD157,420,230.0,车内有异味，比较安静，很满意,5
158,ORD158,316,36.0,速度快，等待时间长，态度一般,3
159,ORD159,72,67.0,驾驶稳,4
160,ORD160,205,226.0,司机很礼貌,4
161,ORD161,39,137.0,等待时间长，服务不错，驾驶稳,3
162,ORD162,173,490.0,车内有异味,3
163,ORD163,123,171.0,等待时间长，很满意,4
164,ORD164,369,406.0,很满意，车内有异味，车很干净,3
165,ORD165,346,13.0,速度快，车很干净,4
166,ORD166,105,416.0,等待时间长，很满意，态度一般,3
167,ORD167,197,42.0,等待时间长，速度快,4
168,ORD168,297,431.0,车内有异味,5
169,ORD169,237,263.0,速度快,5
170,ORD170,122,235.0,等待时间长，态度一般，司机很礼貌,3
171,ORD171,105,183.0,速度快,4
172,ORD172,297,403.0,车内有异味，服务不错,3
173,ORD173,166,137.0,态度一般，服务不错，比较安静,4
174,ORD174,142,135.0,速度快，等待时间长，驾驶稳,5
175,ORD175,166,429.0,比较安静，态度一般,3
176,ORD176,285,110.0,驾驶稳,3
177,ORD177,93,241.0,驾驶稳，比较安静，很满意,3
178,ORD178,310,27.0,比较安静，司机很礼貌,5
179,ORD179,129,177.0,等待时间长，速度快,4
180,ORD180,149,58.0,速度快，车很干净,3
181,ORD181,338,394.0,态度一般,5
182,ORD182,353,125.0,驾驶稳，服务不错,3
183,ORD183,339,438.0,车内有异味，车很干净,4
184,ORD184,86,165.0,车很干净，很满意,5
185,ORD185,208,213.0,态度一般，车很干净，车内有异味,4
186,ORD186,398,349.0,很满意，速度快，服务不错,4
187,ORD187,23,243.0,驾驶稳，比较安静，服务不错,5
188,ORD188,374,279.0,车内有异味,3
189,ORD189,203,77.0,速度快，等待时间长,4
190,ORD190,379,491.0,很满意，驾驶稳,3
191,ORD191,182,498.0,驾驶稳，速度快，司机很礼貌,4
192,ORD192,87,148.0,司机很礼貌，车很干净,3
193,ORD193,330,295.0,速度快，驾驶稳，等待时间长,4
194,ORD194,451,197.0,服务不错，驾驶稳，车很干净,5
195,ORD195,377,191.0,驾驶稳，很满意，司机很礼貌,3
196,ORD196,419,169.0,等待时间长,3
197,ORD197,96,237.0,服务不错，比较安静，车很干净,4
198,ORD198,149,87.0,车很干净，车内有异味，比较安静,3
199,ORD199,217,205.0,服务不错，驾驶稳，司机很礼貌,4
200,ORD200,394,500.0,速度快，态度一般,3
201,ORD201,374,230.0,等待时间长，很满意，驾驶稳,4
202,ORD202,7,78.0,车很干净，速度快,5
203,ORD203,473,197.0,驾驶稳，等待时间长,4
204,ORD204,469,158.0,等待时间长,3
205,ORD205,487,310.0,速度快,4
206,ORD206,394,399.0,服务不错，车很干净，司机很礼貌,3
207,ORD207,145,167.0,很满意，车内有异味，车很干净,4
208,ORD208,388,364.0,态度一般，速度快,5
209,ORD209,401,427.0,比较安静,3
210,ORD210,202,6.0,态度一般,4
211,ORD211,260,476.0,态度一般，速度快,3
212,ORD212,54,15.0,很满意,4
213,ORD213,417,195.0,速度快，服务不错,5
214,ORD214,36,472.0,比较安静，态度一般，很满意,3
215,ORD215,435,465.0,速度快，态度一般,4
216,ORD216,238,405.0,司机很礼貌,4
217,ORD217,352,329.0,车内有异味，态度一般，比较安静,4
218,ORD218,169,120.0,车很干净,3
